trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2026-01-05,258,0.3535,0,0.4595,0.0,258
2026-01-06,258,0.3581,0,0.4579,0.0,258
2026-01-07,258,0.2906,0,0.4532,0.0,258
2026-01-08,258,0.3417,0,0.4578,0.0,258
2026-01-09,331,0.361,6,0.4891,0.0,331
2026-01-12,331,0.3768,7,0.4921,0.0,331
2026-01-13,331,0.2885,4,0.493,0.0,331
2026-01-14,331,0.3253,6,0.4932,0.0,331
2026-01-15,331,0.306,3,0.4995,0.0,331
2026-01-16,331,0.305,4,0.4948,0.0,331
2026-01-19,331,0.3592,2,0.4952,0.0,331
2026-01-20,331,0.3159,5,0.4959,0.0,331
2026-01-21,331,0.3295,4,0.4999,0.0,331
2026-01-22,331,0.3585,7,0.4964,0.0,331
2026-01-23,331,0.3607,5,0.4948,0.0,331
2026-01-26,84,0.3386,4,0.6003,0.0,84
2026-01-27,84,0.3407,5,0.6001,0.0,84
2026-01-28,84,0.3572,6,0.5907,0.0,84
2026-01-29,84,0.3559,6,0.5869,0.0,84
2026-01-30,84,0.3457,3,0.5853,0.0,84
2026-02-02,84,0.2812,1,0.5943,0.0,84
2026-02-03,84,0.4556,11,0.5979,0.0,84
2026-02-04,84,0.3744,3,0.5929,0.0,84
2026-02-05,84,0.3056,2,0.6001,0.0,84
2026-02-06,84,0.3806,6,0.586,0.0,84
2026-02-09,84,0.4327,10,0.5938,0.0,84
2026-02-10,84,0.3307,2,0.5857,0.0,84
2026-02-11,84,0.3385,3,0.5711,0.0,84
2026-02-12,84,0.3435,5,0.5806,0.0,84
2026-02-13,84,0.3258,4,0.582,0.0,84
2026-02-24,84,0.4273,9,0.5892,0.0,84
2026-02-25,84,0.4091,8,0.5845,0.0,84
2026-02-26,84,0.3451,4,0.5711,0.0,84
2026-02-27,84,0.3733,7,0.5767,0.0,84
2026-03-02,84,0.3164,3,0.5731,0.0,84
2026-03-03,84,0.3307,3,0.5894,0.0,84
2026-03-04,84,0.3499,6,0.5801,0.0,84
2026-03-05,84,0.4016,6,0.5838,0.0,84
2026-03-06,84,0.4138,6,0.5991,0.0,84
2026-03-09,84,0.3229,2,0.5908,0.0,84
2026-03-10,84,0.4242,7,0.5902,0.0,84
2026-03-11,85,0.3695,10,0.5862,0.0,85
2026-03-12,84,0.3258,3,0.5876,0.0,84
2026-03-13,84,0.3297,0,0.5906,0.0,84
2026-03-16,84,0.3597,8,0.5936,0.0,84
2026-03-17,84,0.2877,2,0.5799,0.0,84
2026-03-18,84,0.3686,6,0.5822,0.0,84
2026-03-19,84,0.2663,1,0.5755,0.0,84
2026-03-20,85,0.2959,1,0.5776,0.0,85
2026-03-23,85,0.2569,1,0.5728,0.0,85
2026-03-24,85,0.4595,10,0.5763,0.0,85
2026-03-25,85,0.4319,7,0.5648,0.0,85
2026-03-26,85,0.2859,3,0.5814,0.0,85
2026-03-27,85,0.402,5,0.5868,0.0,85
2026-03-30,85,0.3418,1,0.5681,0.0,85
2026-03-31,86,0.3064,3,0.5976,0.0,86
2026-04-01,86,0.4284,8,0.5935,0.0,86
2026-04-02,86,0.359,5,0.5954,0.0,86
2026-04-03,86,0.2791,1,0.5807,0.0,86
2026-04-07,86,0.3998,9,0.5811,0.0,86
2026-04-08,86,0.4685,10,0.593,0.0,86
2026-04-09,86,0.2849,2,0.5834,0.0,86
2026-04-10,86,0.4179,6,0.5788,0.0,86
2026-04-13,85,0.3367,3,0.5705,0.0,85
2026-04-14,85,0.3956,6,0.582,0.0,85
2026-04-15,85,0.3533,5,0.5783,0.0,85
2026-04-16,85,0.4185,9,0.5723,0.0,85
2026-04-17,85,0.4206,11,0.5636,0.0,85
2026-04-20,85,0.4018,8,0.5579,0.0,85
2026-04-21,85,0.2958,3,0.5546,0.0,85
2026-04-22,84,0.3967,6,0.553,0.0,84
2026-04-23,84,0.2894,2,0.5625,0.0,84
2026-04-27,270,0.3291,3,0.4719,0.0,270
2026-04-30,270,0.3011,2,0.4811,0.0,270
