true_collapse_min_score,true_collapse_min_groups,leader_island_min,total_rows,true_collapse_count,true_collapse_pct,diffusion_warning_count,low_diffusion_bg_count
0.6,2,0.5,80000,36,0.04,47949,30400
0.6,2,0.6,80000,36,0.04,47949,30400
0.6,2,0.68,80000,36,0.04,47949,30400
0.6,3,0.5,80000,36,0.04,47949,30400
0.6,3,0.6,80000,36,0.04,47949,30400
0.6,3,0.68,80000,36,0.04,47949,30400
0.6,4,0.5,80000,36,0.04,47949,30400
0.6,4,0.6,80000,36,0.04,47949,30400
0.6,4,0.68,80000,36,0.04,47949,30400
0.65,2,0.5,80000,36,0.04,47949,30400
0.65,2,0.6,80000,36,0.04,47949,30400
0.65,2,0.68,80000,36,0.04,47949,30400
0.65,3,0.5,80000,36,0.04,47949,30400
0.65,3,0.6,80000,36,0.04,47949,30400
0.65,3,0.68,80000,36,0.04,47949,30400
0.65,4,0.5,80000,36,0.04,47949,30400
0.65,4,0.6,80000,36,0.04,47949,30400
0.65,4,0.68,80000,36,0.04,47949,30400
0.7,2,0.5,80000,36,0.04,47949,30400
0.7,2,0.6,80000,36,0.04,47949,30400
0.7,2,0.68,80000,36,0.04,47949,30400
0.7,3,0.5,80000,36,0.04,47949,30400
0.7,3,0.6,80000,36,0.04,47949,30400
0.7,3,0.68,80000,36,0.04,47949,30400
0.7,4,0.5,80000,36,0.04,47949,30400
0.7,4,0.6,80000,36,0.04,47949,30400
0.7,4,0.68,80000,36,0.04,47949,30400
0.74,2,0.5,80000,36,0.04,47949,30400
0.74,2,0.6,80000,36,0.04,47949,30400
0.74,2,0.68,80000,36,0.04,47949,30400
0.74,3,0.5,80000,36,0.04,47949,30400
0.74,3,0.6,80000,36,0.04,47949,30400
0.74,3,0.68,80000,36,0.04,47949,30400
0.74,4,0.5,80000,36,0.04,47949,30400
0.74,4,0.6,80000,36,0.04,47949,30400
0.74,4,0.68,80000,36,0.04,47949,30400
